,DEA_Sexual_Biofilms_Clinical_Isolates_CAY540_1-FWD_C_albicans__SC5314__,DEA_Sexual_Biofilms_Clinical_Isolates_CAY540P_1-FWD_C_albicans__SC5314__
ERCC-00002,0,0
ERCC-00003,0,0
ERCC-00004,0,0
ERCC-00009,0,0
ERCC-00012,0,0
ERCC-00013,0,0
ERCC-00014,0,0
ERCC-00016,0,0
ERCC-00017,0,0
ERCC-00019,0,0
ERCC-00022,0,0
ERCC-00024,0,0
ERCC-00025,0,0
ERCC-00028,0,0
ERCC-00031,0,0
ERCC-00033,0,0
ERCC-00034,0,0
ERCC-00035,1.052851714,0
ERCC-00039,0,0
ERCC-00040,0,0
ERCC-00041,0,0
ERCC-00042,0,0
ERCC-00043,0,0
ERCC-00044,0,0
ERCC-00046,0,0
ERCC-00048,0,0
ERCC-00051,0,0
ERCC-00053,0,0
ERCC-00054,0,0
ERCC-00057,0,0
ERCC-00058,0,0
ERCC-00059,0,0
ERCC-00060,0,0
ERCC-00061,0,0
ERCC-00062,0,0
ERCC-00067,0,0
ERCC-00069,0,0
ERCC-00071,0,0
ERCC-00073,0,0
ERCC-00074,0,0
ERCC-00075,0,0
ERCC-00076,0,0
ERCC-00077,0,0
ERCC-00078,0,0
ERCC-00079,0,0
ERCC-00081,0,0
ERCC-00083,0,0
ERCC-00084,0,0
ERCC-00085,0,0
ERCC-00086,0,0
ERCC-00092,0,0
ERCC-00095,0,0
ERCC-00096,0,0
ERCC-00097,0,0
ERCC-00098,0,0
ERCC-00099,0,0
ERCC-00104,0,0
ERCC-00108,0,0
ERCC-00109,0,0
ERCC-00111,0,0
ERCC-00112,0,0
ERCC-00113,0,0
ERCC-00116,0,0
ERCC-00117,0,0
ERCC-00120,0,0
ERCC-00123,0,0
ERCC-00126,0,0
ERCC-00130,0,0
ERCC-00131,0,0
ERCC-00134,0,0
ERCC-00136,0,0
ERCC-00137,0,0
ERCC-00138,0,0
ERCC-00142,0,0
ERCC-00143,0,0
ERCC-00144,0,0
ERCC-00145,0,0
ERCC-00147,0,0
ERCC-00148,0,0
ERCC-00150,0,0
ERCC-00154,0,0
ERCC-00156,0,0
ERCC-00157,0,0
ERCC-00158,0,0
ERCC-00160,0,0
ERCC-00162,0,0
ERCC-00163,0,0
ERCC-00164,0,0
ERCC-00165,0,0
ERCC-00168,0,0
ERCC-00170,0,0
ERCC-00171,0,0
NOVEL-Ca21chr1-001,0,0
NOVEL-Ca21chr1-002,214.7817497,93.08053421
NOVEL-Ca21chr1-003,0,0
NOVEL-Ca21chr1-004,9.475665428,14.24702054
NOVEL-Ca21chr1-005,7.369961999,10.44781506
NOVEL-Ca21chr1-007,5.264258571,4.749006848
NOVEL-Ca21chr1-008,6.317110285,3.799205478
NOVEL-Ca21chr1-009,0,0.94980137
NOVEL-Ca21chr1-010,5.264258571,3.799205478
NOVEL-Ca21chr1-011,38.95551342,42.74106163
NOVEL-Ca21chr1-012,5.264258571,4.749006848
NOVEL-Ca21chr1-013,0,8.548212326
NOVEL-Ca21chr1-014,3.158555143,0
NOVEL-Ca21chr1-015,18.95133086,35.14265067
NOVEL-Ca21chr1-016,49.48403057,333.3802807
NOVEL-Ca21chr1-017,0,0
NOVEL-Ca21chr1-018,4.211406857,0.94980137
NOVEL-Ca21chr1-019,13.68707228,5.698808217
NOVEL-Ca21chr1-020,0,0
NOVEL-Ca21chr1-021,2.105703428,9.498013695
NOVEL-Ca21chr1-022,21.05703428,14.24702054
NOVEL-Ca21chr1-023,0,0
NOVEL-Ca21chr1-024,12.63422057,10.44781506
NOVEL-Ca21chr1-025,23.16273771,27.54423972
NOVEL-Ca21chr1-026,43.16692028,45.59046574
NOVEL-Ca21chr1-027,18.95133086,17.09642465
NOVEL-Ca21chr1-028,0,0
NOVEL-Ca21chr1-029,4.211406857,7.598410956
NOVEL-Ca21chr1-030,0,0
NOVEL-Ca21chr1-031,51.58973399,53.18887669
NOVEL-Ca21chr1-032,0,0
NOVEL-Ca21chr1-033,0,0
NOVEL-Ca21chr1-034,73.69961999,67.43589723
NOVEL-Ca21chr1-035,0,0
NOVEL-Ca21chr1-036,0,0
NOVEL-Ca21chr1-037,0,1.899602739
NOVEL-Ca21chr1-038,1.052851714,0
NOVEL-Ca21chr1-040,0,0
NOVEL-Ca21chr1-041,0,0
NOVEL-Ca21chr1-042,12.63422057,2.849404109
NOVEL-Ca21chr1-043,47.37832714,52.23907532
NOVEL-Ca21chr1-044,0,0.94980137
NOVEL-Ca21chr1-045,0,2.849404109
NOVEL-Ca21chr1-046,12.63422057,3.799205478
NOVEL-Ca21chr1-047,7.369961999,2.849404109
NOVEL-Ca21chr1-048,2.105703428,0.94980137
NOVEL-Ca21chr1-049,51.58973399,20.89563013
NOVEL-Ca21chr1-050,0,0.94980137
NOVEL-Ca21chr1-051,11.58136886,14.24702054
NOVEL-Ca21chr1-052,0,0
NOVEL-Ca21chr1-053,20014.71109,13272.52434
NOVEL-Ca21chr1-054,27.37414457,16.14662328
NOVEL-Ca21chr1-055,1.052851714,0
NOVEL-Ca21chr1-056,1.052851714,13.29721917
NOVEL-Ca21chr1-057,0,0
NOVEL-Ca21chr1-058,3.158555143,13.29721917
NOVEL-Ca21chr1-059,5.264258571,5.698808217
NOVEL-Ca21chr1-060,17.89847914,5.698808217
NOVEL-Ca21chr1-061,8.422813713,11.39761643
NOVEL-Ca21chr1-062,3.158555143,2.849404109
NOVEL-Ca21chr1-063,4.211406857,0
NOVEL-Ca21chr1-064,22.109886,14.24702054
NOVEL-Ca21chr1-065,0,6.648609587
NOVEL-Ca21chr1-066,1.052851714,0
NOVEL-Ca21chr1-067,0,0
NOVEL-Ca21chr1-068,0,0
NOVEL-Ca21chr1-069,3.158555143,2.849404109
NOVEL-Ca21chr1-070,9.475665428,30.39364382
NOVEL-Ca21chr1-071,11.58136886,2.849404109
NOVEL-Ca21chr1-072,52.64258571,94.98013695
NOVEL-Ca21chr1-073,443.2505717,3259.7183
NOVEL-Ca21chr1-074,3.158555143,12.3474178
NOVEL-Ca21chr1-075,13.68707228,16.14662328
NOVEL-Ca21chr1-076,4.211406857,0.94980137
NOVEL-Ca21chr1-077,6.317110285,0.94980137
NOVEL-Ca21chr1-078,31.58555143,20.89563013
NOVEL-Ca21chr1-079,1.052851714,32.29324656
NOVEL-Ca21chr1-080,0,0
NOVEL-Ca21chr1-081,26.32129285,23.74503424
NOVEL-Ca21chr1-082,6.317110285,22.79523287
NOVEL-Ca21chr1-083,0,0
NOVEL-Ca21chr1-084,0,0
NOVEL-Ca21chr1-085,3.158555143,0.94980137
NOVEL-Ca21chr1-086,0,0
NOVEL-Ca21chr1-087,7.369961999,4.749006848
NOVEL-Ca21chr1-088,1.052851714,0.94980137
NOVEL-Ca21chr1-089,0,0.94980137
NOVEL-Ca21chr1-090,0,1.899602739
NOVEL-Ca21chr1-091,0,0
NOVEL-Ca21chr1-092,0,0.94980137
NOVEL-Ca21chr1-093,0,0
NOVEL-Ca21chr1-094,0,0
NOVEL-Ca21chr1-095,1.052851714,1.899602739
NOVEL-Ca21chr1-096,81.06958199,78.83351367
NOVEL-Ca21chr1-097,23.16273771,194.7092807
NOVEL-Ca21chr1-098,0,0
NOVEL-Ca21chr1-099,6.317110285,3.799205478
NOVEL-Ca21chr1-101,0,0.94980137
NOVEL-Ca21chr1-102,2.105703428,0
NOVEL-Ca21chr1-103,12.63422057,36.09245204
