"","DEA_Sexual_Biofilms_Clinical_Isolates_CAY540_2-FWD_C_albicans__SC5314__","DEA_Sexual_Biofilms_Clinical_Isolates_CAY540P_2-FWD_C_albicans__SC5314__"
"ERCC-00002",0,0
"ERCC-00003",0,0
"ERCC-00004",0,0
"ERCC-00009",0,0
"ERCC-00012",0,0
"ERCC-00013",0,0
"ERCC-00014",0,0
"ERCC-00016",0,0
"ERCC-00017",0,0
"ERCC-00019",0,0
"ERCC-00022",0,0
"ERCC-00024",0,0
"ERCC-00025",0,0
"ERCC-00028",0,0
"ERCC-00031",0,0
"ERCC-00033",0,0
"ERCC-00034",0,0
"ERCC-00035",0,0
"ERCC-00039",0,0
"ERCC-00040",0,0
"ERCC-00041",0,0
"ERCC-00042",0,0
"ERCC-00043",0,0
"ERCC-00044",0,0
"ERCC-00046",0,0
"ERCC-00048",0,0
"ERCC-00051",0,0
"ERCC-00053",0,0
"ERCC-00054",0,0
"ERCC-00057",0,0
"ERCC-00058",0,0
"ERCC-00059",0,0
"ERCC-00060",0,0
"ERCC-00061",0,0
"ERCC-00062",0,0
"ERCC-00067",0,0
"ERCC-00069",0,0
"ERCC-00071",0,0
"ERCC-00073",0,0
"ERCC-00074",0,0
"ERCC-00075",0,0
"ERCC-00076",0,0
"ERCC-00077",0,0
"ERCC-00078",0,0
"ERCC-00079",0,0
"ERCC-00081",0,0
"ERCC-00083",0,0
"ERCC-00084",0,0
"ERCC-00085",0,0
"ERCC-00086",0,0
"ERCC-00092",0,0
"ERCC-00095",0,0
"ERCC-00096",0,0
"ERCC-00097",0,0
"ERCC-00098",0,0
"ERCC-00099",0,0
"ERCC-00104",0,0
"ERCC-00108",0,0
"ERCC-00109",0,0
"ERCC-00111",0,0
"ERCC-00112",0,0
"ERCC-00113",0,0
"ERCC-00116",0,0
"ERCC-00117",0,0
"ERCC-00120",0,0
"ERCC-00123",0,0
"ERCC-00126",0,0
"ERCC-00130",0,0
"ERCC-00131",0,0
"ERCC-00134",0,0
"ERCC-00136",0,0
"ERCC-00137",0,0
"ERCC-00138",0,0
"ERCC-00142",0,0
"ERCC-00143",0,0
"ERCC-00144",0,0
"ERCC-00145",0,0
"ERCC-00147",0,0
"ERCC-00148",0,0
"ERCC-00150",0,0
"ERCC-00154",0,0
"ERCC-00156",0,0
"ERCC-00157",0,0
"ERCC-00158",0,0
"ERCC-00160",0,0
"ERCC-00162",0,0
"ERCC-00163",0,0
"ERCC-00164",0,0
"ERCC-00165",0,0
"ERCC-00168",0,0
"ERCC-00170",0,0
"ERCC-00171",0,0
"NOVEL-Ca21chr1-001",0,0
"NOVEL-Ca21chr1-002",72.1514228173606,90.4763862595553
"NOVEL-Ca21chr1-003",0,0
"NOVEL-Ca21chr1-004",4.24420134219768,6.59723649809257
"NOVEL-Ca21chr1-005",11.6715536910436,5.6547741412222
"NOVEL-Ca21chr1-007",4.24420134219768,3.76984942748147
"NOVEL-Ca21chr1-008",3.18315100664826,6.59723649809257
"NOVEL-Ca21chr1-009",0,0
"NOVEL-Ca21chr1-010",6.36630201329652,8.4821612118333
"NOVEL-Ca21chr1-011",80.639825501756,58.4326661259628
"NOVEL-Ca21chr1-012",2.12210067109884,3.76984942748147
"NOVEL-Ca21chr1-013",6.36630201329652,9.42462356870367
"NOVEL-Ca21chr1-014",0,0
"NOVEL-Ca21chr1-015",26.5262583887355,24.5040212786295
"NOVEL-Ca21chr1-016",235.553174491971,343.056297900814
"NOVEL-Ca21chr1-017",0,0
"NOVEL-Ca21chr1-018",3.18315100664826,0.942462356870367
"NOVEL-Ca21chr1-019",5.3052516777471,7.53969885496294
"NOVEL-Ca21chr1-020",0,0
"NOVEL-Ca21chr1-021",2.12210067109884,10.367085925574
"NOVEL-Ca21chr1-022",18.0378557043401,16.9643224236666
"NOVEL-Ca21chr1-023",0,0
"NOVEL-Ca21chr1-024",11.6715536910436,10.367085925574
"NOVEL-Ca21chr1-025",6.36630201329652,9.42462356870367
"NOVEL-Ca21chr1-026",38.1978120797791,68.7997520515368
"NOVEL-Ca21chr1-027",38.1978120797791,11.3095482824444
"NOVEL-Ca21chr1-028",0,0
"NOVEL-Ca21chr1-029",15.9157550332413,7.53969885496294
"NOVEL-Ca21chr1-030",0,0
"NOVEL-Ca21chr1-031",62.6019697974158,31.1012577767221
"NOVEL-Ca21chr1-032",0,0
"NOVEL-Ca21chr1-033",0,0
"NOVEL-Ca21chr1-034",58.3577684552181,89.5339239026849
"NOVEL-Ca21chr1-035",0,0
"NOVEL-Ca21chr1-036",0,0
"NOVEL-Ca21chr1-037",0,0.942462356870367
"NOVEL-Ca21chr1-038",0,0
"NOVEL-Ca21chr1-040",1.06105033554942,0
"NOVEL-Ca21chr1-041",0,0.942462356870367
"NOVEL-Ca21chr1-042",9.54945301994478,1.88492471374073
"NOVEL-Ca21chr1-043",76.3956241595583,33.9286448473332
"NOVEL-Ca21chr1-044",1.06105033554942,1.88492471374073
"NOVEL-Ca21chr1-045",0,2.8273870706111
"NOVEL-Ca21chr1-046",4.24420134219768,0.942462356870367
"NOVEL-Ca21chr1-047",6.36630201329652,7.53969885496294
"NOVEL-Ca21chr1-048",2.12210067109884,0
"NOVEL-Ca21chr1-049",53.052516777471,27.3314083492407
"NOVEL-Ca21chr1-050",0,0
"NOVEL-Ca21chr1-051",9.54945301994478,11.3095482824444
"NOVEL-Ca21chr1-052",0,0
"NOVEL-Ca21chr1-053",11116.6243655513,13398.0448652691
"NOVEL-Ca21chr1-054",18.0378557043401,17.906784780537
"NOVEL-Ca21chr1-055",0,0.942462356870367
"NOVEL-Ca21chr1-056",0,3.76984942748147
"NOVEL-Ca21chr1-057",0,0
"NOVEL-Ca21chr1-058",1.06105033554942,16.0218600667962
"NOVEL-Ca21chr1-059",2.12210067109884,9.42462356870367
"NOVEL-Ca21chr1-060",10.6105033554942,7.53969885496294
"NOVEL-Ca21chr1-061",15.9157550332413,7.53969885496294
"NOVEL-Ca21chr1-062",5.3052516777471,6.59723649809257
"NOVEL-Ca21chr1-063",1.06105033554942,0
"NOVEL-Ca21chr1-064",22.2820570465378,9.42462356870367
"NOVEL-Ca21chr1-065",0,19.7917094942777
"NOVEL-Ca21chr1-066",1.06105033554942,1.88492471374073
"NOVEL-Ca21chr1-067",0,0
"NOVEL-Ca21chr1-068",1.06105033554942,0.942462356870367
"NOVEL-Ca21chr1-069",0,0
"NOVEL-Ca21chr1-070",28.6483590598344,34.8711072042036
"NOVEL-Ca21chr1-071",2.12210067109884,0.942462356870367
"NOVEL-Ca21chr1-072",26.5262583887355,44.2957307729073
"NOVEL-Ca21chr1-073",3234.08142275463,4807.50048239574
"NOVEL-Ca21chr1-074",1.06105033554942,11.3095482824444
"NOVEL-Ca21chr1-075",21.2210067109884,25.4464836354999
"NOVEL-Ca21chr1-076",1.06105033554942,1.88492471374073
"NOVEL-Ca21chr1-077",11.6715536910436,4.71231178435184
"NOVEL-Ca21chr1-078",14.8547046976919,27.3314083492407
"NOVEL-Ca21chr1-079",15.9157550332413,33.9286448473332
"NOVEL-Ca21chr1-080",0,0
"NOVEL-Ca21chr1-081",30.7704597309332,20.7341718511481
"NOVEL-Ca21chr1-082",15.9157550332413,56.547741412222
"NOVEL-Ca21chr1-083",0,0
"NOVEL-Ca21chr1-084",0,0
"NOVEL-Ca21chr1-085",3.18315100664826,4.71231178435184
"NOVEL-Ca21chr1-086",0,0
